value,FavoriteCountNorm_pca,ReplyCountNorm_pca,RetweetCountNorm_pca,QuoteCountNorm_pca,ViewCountNorm_pca,BookmarkCountNorm
Tolerance,0.10451664,0.06993919,0.124337839,0.057044009,0.05553095,0.063459651
Preservation of Nature,0.07643535,0.04298428,0.087915483,0.035608705,0.02483313,0.049357979
Universal Concern,0.09367598,0.06658762,0.122089904,0.055547929,0.05922173,0.054574373
Dependability,0.06331009,0.04129303,0.088649841,0.035194022,0.03736473,0.033418119
Caring,0.04393711,0.02605387,0.070882235,0.023504472,0.02546824,0.019777401
Humility,0.10540147,0.07628593,0.128795538,0.062895635,0.06421421,0.066174314
Interpersonal Confirmity,0.13273916,0.1125357,0.146487384,0.089128581,0.10389077,0.085414322
Rule Conformity,0.17874898,0.15759485,0.199337429,0.125972182,0.14618634,0.120272811
Tradition,0.15139146,0.12797835,0.164260401,0.100645503,0.11831169,0.096301688
Societal Security,0.17581131,0.15365853,0.196581127,0.122847118,0.14218435,0.117591074
Personal Security,0.05826258,0.0418107,0.057978766,0.030527102,0.03892996,0.028542485
Face,0.05555249,0.03592533,0.038153811,0.017118495,0.05035726,-0.003102688
Resources,0.05195599,0.03306697,0.038490104,0.017164899,0.04273729,0.002454337
Dominance,0.05437023,0.03780927,0.04563301,0.023301424,0.04338311,0.012598237
Achievement,0.04831617,0.02713853,0.026110052,0.008142575,0.04499131,-0.01486683
Hedonism,0.0349808,-0.01035308,0.004196851,-0.012708497,-0.04264582,0.02317513
Stimulation,0.06294437,0.01758322,0.046247182,0.013946553,-0.02227893,0.054836858
Self-directed Action,0.08936193,0.03409736,0.073326897,0.027860625,-0.01503785,0.076830554
Self-directed Thoughts,0.08530269,0.03206499,0.069594776,0.026427092,-0.01619044,0.074716847
